label,overall,cross_subject_train,cross_subject_val,cross_subject_test,subject_exclusive_train,subject_exclusive_val,subject_exclusive_test,model_split_train,model_split_val,model_split_test,ego_exclusive_train,ego_exclusive_val,ego_exclusive_test
0,5399,4111,725,563,4334,824,241,3687,677,1035,2813,506,2080
1,217,176,23,18,184,18,15,115,15,87,176,23,18
10,67,55,7,5,57,6,4,43,6,18,53,7,7
100,197,125,43,29,142,55,0,88,41,68,145,35,17
101,95,79,10,6,92,3,0,83,3,9,83,5,7
102,46,34,7,5,38,8,0,34,6,6,35,6,5
103,109,89,9,11,100,9,0,60,7,42,89,12,8
104,311,230,47,34,265,46,0,217,41,53,232,44,35
105,45,42,1,2,41,4,0,41,4,0,35,1,9
106,96,79,11,6,84,7,5,81,3,12,78,10,8
108,413,327,58,28,342,49,22,362,51,0,312,43,58
109,26,16,7,3,20,6,0,21,5,0,19,4,3
11,154,120,21,13,127,23,4,133,21,0,118,18,18
110,46,34,9,3,37,9,0,35,5,6,36,10,0
111,25,19,2,4,23,2,0,3,1,21,22,2,1
112,110,87,11,12,92,13,5,80,6,24,90,10,10
113,204,139,29,36,164,40,0,159,31,14,160,29,15
114,199,133,32,34,157,42,0,163,36,0,149,33,17
115,171,129,19,23,146,20,5,126,20,25,137,20,14
116,7,5,1,1,7,0,0,6,1,0,5,0,2
117,91,75,8,8,86,5,0,67,6,18,76,8,7
118,100,76,11,13,90,10,0,88,10,2,82,11,7
119,71,55,8,8,58,8,5,50,7,14,54,10,7
12,121,96,13,12,105,11,5,112,9,0,96,15,10
120,139,107,13,19,122,17,0,104,13,22,111,13,15
121,376,291,44,41,320,46,10,268,38,70,301,45,30
122,59,47,3,9,55,4,0,51,4,4,49,6,4
123,142,104,18,20,108,19,15,113,25,4,115,17,10
124,29,19,6,4,15,5,9,24,5,0,18,10,1
125,96,71,7,18,87,9,0,88,8,0,78,7,11
126,42,28,6,8,35,7,0,37,5,0,33,7,2
127,98,80,9,9,89,9,0,68,7,23,81,11,6
128,72,54,11,7,58,10,4,8,1,63,58,10,4
129,265,214,28,23,215,28,22,222,23,20,221,36,8
13,94,73,14,7,79,15,0,59,9,26,74,14,6
130,364,296,29,39,314,37,13,282,29,53,308,31,25
131,393,323,35,35,353,36,4,335,40,18,339,43,11
132,76,61,5,10,68,8,0,68,4,4,69,3,4
133,588,440,61,87,505,79,4,402,69,117,481,64,43
134,42,36,4,2,38,4,0,37,3,2,34,4,4
135,4,4,0,0,4,0,0,4,0,0,4,0,0
136,25,16,7,2,18,7,0,20,5,0,15,5,5
137,142,96,23,23,116,26,0,98,28,16,99,33,10
14,144,109,14,21,124,16,4,20,7,117,117,18,9
15,511,408,53,50,420,46,45,387,46,78,408,68,35
16,768,611,73,84,656,85,27,487,76,205,617,90,61
17,934,706,125,103,789,145,0,785,130,19,735,134,65
18,87,63,12,12,65,12,10,45,9,33,66,11,10
19,278,204,43,31,213,45,20,195,35,48,216,47,15
2,163,122,25,16,123,30,10,130,22,11,124,24,15
20,34,23,4,7,29,5,0,25,5,4,27,5,2
21,43,30,10,3,31,12,0,16,6,21,28,7,8
22,38,32,4,2,34,4,0,26,1,11,32,2,4
23,14,9,3,2,11,3,0,10,4,0,8,4,2
24,168,119,21,28,136,28,4,116,25,27,129,28,11
25,23,19,2,2,21,2,0,12,0,11,20,0,3
26,50,45,2,3,47,3,0,42,4,4,44,2,4
28,9,9,0,0,9,0,0,9,0,0,9,0,0
29,118,98,13,7,104,14,0,107,11,0,94,9,15
3,248,203,22,23,225,23,0,197,21,30,215,18,15
30,20,8,9,3,9,11,0,11,9,0,10,9,1
31,18,11,1,6,15,3,0,6,3,9,14,2,2
32,110,80,17,13,95,15,0,77,19,14,80,20,10
33,260,180,41,39,212,44,4,170,37,53,195,42,23
34,289,207,35,47,249,40,0,242,42,5,230,37,22
35,204,162,32,10,168,36,0,121,22,61,147,26,31
36,98,81,10,7,87,11,0,65,7,26,79,9,10
37,309,260,25,24,261,23,25,243,21,45,227,27,55
38,318,263,43,12,270,39,9,150,18,150,242,34,42
39,1191,979,122,90,1048,133,10,874,112,205,934,114,143
4,235,194,27,14,197,25,13,151,20,64,194,24,17
40,73,57,8,8,60,4,9,65,8,0,56,8,9
41,239,193,29,17,197,32,10,201,27,11,175,24,40
42,283,210,48,25,229,54,0,187,44,52,194,50,39
43,91,67,10,14,69,12,10,22,8,61,66,13,12
44,127,97,21,9,98,24,5,81,13,33,100,19,8
45,17,10,3,4,14,3,0,14,3,0,13,3,1
46,121,80,16,25,96,25,0,85,22,14,92,18,11
47,238,188,18,32,212,26,0,192,26,20,178,22,38
48,205,155,21,29,181,24,0,136,16,53,152,28,25
49,35,26,5,4,16,4,15,30,5,0,22,10,3
5,192,163,18,11,171,21,0,115,13,64,155,21,16
50,128,97,20,11,107,21,0,111,17,0,101,15,12
51,29,27,2,0,27,2,0,25,1,3,20,0,9
52,642,515,81,46,523,88,31,487,75,80,460,75,107
53,43,39,4,0,32,1,10,31,1,11,31,4,8
54,479,392,48,39,415,54,10,363,46,70,347,50,82
55,178,152,13,13,152,10,16,144,11,23,134,18,26
56,48,41,7,0,31,2,15,25,1,22,28,6,14
57,29,25,3,1,21,2,6,20,2,7,21,3,5
58,383,300,48,35,334,49,0,252,41,90,278,46,59
59,1344,1086,138,120,1164,155,25,950,141,253,956,135,253
6,173,134,25,14,143,30,0,109,22,42,132,23,18
60,82,66,11,5,70,12,0,57,11,14,63,9,10
61,209,165,22,22,171,23,15,182,22,5,152,24,33
62,79,60,4,15,77,2,0,68,11,0,62,13,4
63,112,84,17,11,82,15,15,85,14,13,82,18,12
64,127,102,7,18,99,11,17,87,8,32,90,14,23
65,451,341,43,67,394,57,0,329,55,67,347,49,55
66,1437,1067,162,208,1227,210,0,1074,174,189,1052,154,231
67,93,68,11,14,81,12,0,67,9,17,77,11,5
68,563,434,54,75,487,61,15,417,55,91,438,62,63
69,14,10,3,1,11,3,0,12,2,0,10,2,2
7,969,755,125,89,813,147,9,694,117,158,746,126,97
70,119,96,12,11,96,12,11,98,16,5,87,19,13
71,138,105,14,19,121,17,0,102,13,23,110,17,11
72,324,274,37,13,288,36,0,184,18,122,264,25,35
73,264,206,37,21,224,40,0,194,34,36,200,36,28
74,178,153,15,10,152,16,10,163,15,0,144,12,22
75,110,94,12,4,99,11,0,62,7,41,90,8,12
76,23,22,0,1,21,2,0,22,1,0,20,0,3
77,51,45,5,1,46,5,0,48,3,0,40,5,6
78,268,207,26,35,237,31,0,224,26,18,209,26,33
79,4,4,0,0,4,0,0,4,0,0,4,0,0
8,58,48,6,4,46,3,9,37,3,18,45,6,7
80,997,795,102,100,893,84,20,704,96,197,833,99,65
81,628,445,72,111,538,90,0,453,84,91,472,76,80
82,259,209,28,22,210,23,26,202,25,32,212,32,15
83,1034,837,87,110,891,80,63,801,102,131,873,104,57
84,106,86,12,8,93,13,0,47,6,53,92,8,6
85,35,31,3,1,32,3,0,12,1,22,28,4,3
86,80,66,8,6,73,7,0,42,4,34,67,6,7
87,106,85,11,10,93,13,0,82,11,13,89,11,6
88,220,178,15,27,198,22,0,176,20,24,177,23,20
89,118,81,25,12,88,30,0,91,23,4,82,26,10
9,649,534,70,45,541,83,25,503,70,76,511,73,65
90,28,24,2,2,25,3,0,23,1,4,25,3,0
91,270,218,29,23,236,30,4,235,30,5,219,26,25
92,64,55,3,6,62,2,0,57,2,5,57,3,4
93,54,45,6,3,47,7,0,40,6,8,47,5,2
95,14,5,6,3,6,8,0,4,5,5,7,5,2
96,20,11,5,4,13,7,0,15,5,0,14,6,0
97,36,15,12,9,20,16,0,23,13,0,20,12,4
98,517,407,64,46,407,54,56,317,40,160,394,65,58
99,2867,2157,384,326,2260,376,231,2153,352,362,2133,379,355
