label,scope,split,subset,count
0,overall,overall,overall,4345
1,overall,overall,overall,156
10,overall,overall,overall,67
100,overall,overall,overall,425
101,overall,overall,overall,28
102,overall,overall,overall,47
103,overall,overall,overall,87
104,overall,overall,overall,237
105,overall,overall,overall,23
106,overall,overall,overall,240
107,overall,overall,overall,16
108,overall,overall,overall,348
109,overall,overall,overall,17
11,overall,overall,overall,213
110,overall,overall,overall,9
112,overall,overall,overall,15
113,overall,overall,overall,4
114,overall,overall,overall,40
115,overall,overall,overall,92
116,overall,overall,overall,8
117,overall,overall,overall,149
118,overall,overall,overall,61
119,overall,overall,overall,179
12,overall,overall,overall,166
120,overall,overall,overall,91
121,overall,overall,overall,305
122,overall,overall,overall,13
123,overall,overall,overall,200
124,overall,overall,overall,27
125,overall,overall,overall,134
126,overall,overall,overall,62
127,overall,overall,overall,168
128,overall,overall,overall,5
129,overall,overall,overall,16
13,overall,overall,overall,201
130,overall,overall,overall,40
131,overall,overall,overall,32
132,overall,overall,overall,90
133,overall,overall,overall,821
134,overall,overall,overall,61
135,overall,overall,overall,12
136,overall,overall,overall,21
137,overall,overall,overall,331
14,overall,overall,overall,33
15,overall,overall,overall,53
16,overall,overall,overall,104
17,overall,overall,overall,96
18,overall,overall,overall,62
19,overall,overall,overall,392
2,overall,overall,overall,277
20,overall,overall,overall,64
21,overall,overall,overall,46
22,overall,overall,overall,45
23,overall,overall,overall,41
24,overall,overall,overall,77
25,overall,overall,overall,33
26,overall,overall,overall,59
27,overall,overall,overall,3
28,overall,overall,overall,34
29,overall,overall,overall,114
3,overall,overall,overall,164
30,overall,overall,overall,4
31,overall,overall,overall,9
32,overall,overall,overall,17
33,overall,overall,overall,28
34,overall,overall,overall,33
35,overall,overall,overall,228
36,overall,overall,overall,59
37,overall,overall,overall,64
38,overall,overall,overall,314
39,overall,overall,overall,356
4,overall,overall,overall,86
40,overall,overall,overall,71
41,overall,overall,overall,169
42,overall,overall,overall,126
43,overall,overall,overall,46
44,overall,overall,overall,250
45,overall,overall,overall,24
46,overall,overall,overall,244
47,overall,overall,overall,62
48,overall,overall,overall,128
49,overall,overall,overall,46
5,overall,overall,overall,199
50,overall,overall,overall,116
51,overall,overall,overall,27
52,overall,overall,overall,288
53,overall,overall,overall,7
54,overall,overall,overall,279
55,overall,overall,overall,13
56,overall,overall,overall,11
57,overall,overall,overall,5
58,overall,overall,overall,97
59,overall,overall,overall,426
6,overall,overall,overall,150
60,overall,overall,overall,127
61,overall,overall,overall,331
62,overall,overall,overall,39
63,overall,overall,overall,39
64,overall,overall,overall,38
65,overall,overall,overall,292
66,overall,overall,overall,417
67,overall,overall,overall,169
68,overall,overall,overall,306
69,overall,overall,overall,34
7,overall,overall,overall,506
70,overall,overall,overall,147
71,overall,overall,overall,24
72,overall,overall,overall,424
73,overall,overall,overall,163
74,overall,overall,overall,114
75,overall,overall,overall,83
76,overall,overall,overall,15
77,overall,overall,overall,46
78,overall,overall,overall,58
8,overall,overall,overall,23
80,overall,overall,overall,203
81,overall,overall,overall,46
82,overall,overall,overall,257
83,overall,overall,overall,771
84,overall,overall,overall,107
85,overall,overall,overall,51
86,overall,overall,overall,63
87,overall,overall,overall,84
88,overall,overall,overall,240
89,overall,overall,overall,98
9,overall,overall,overall,318
90,overall,overall,overall,26
91,overall,overall,overall,284
92,overall,overall,overall,52
93,overall,overall,overall,43
94,overall,overall,overall,8
95,overall,overall,overall,13
96,overall,overall,overall,22
97,overall,overall,overall,36
98,overall,overall,overall,573
99,overall,overall,overall,5382
0,split,cross_subject,train,3327
1,split,cross_subject,train,122
10,split,cross_subject,train,57
100,split,cross_subject,train,341
101,split,cross_subject,train,15
102,split,cross_subject,train,32
103,split,cross_subject,train,69
104,split,cross_subject,train,183
105,split,cross_subject,train,11
106,split,cross_subject,train,163
107,split,cross_subject,train,15
108,split,cross_subject,train,284
109,split,cross_subject,train,16
11,split,cross_subject,train,172
110,split,cross_subject,train,9
112,split,cross_subject,train,3
113,split,cross_subject,train,3
114,split,cross_subject,train,19
115,split,cross_subject,train,83
116,split,cross_subject,train,5
117,split,cross_subject,train,107
118,split,cross_subject,train,44
119,split,cross_subject,train,144
12,split,cross_subject,train,137
120,split,cross_subject,train,71
121,split,cross_subject,train,254
122,split,cross_subject,train,9
123,split,cross_subject,train,158
124,split,cross_subject,train,22
125,split,cross_subject,train,104
126,split,cross_subject,train,49
127,split,cross_subject,train,135
128,split,cross_subject,train,5
129,split,cross_subject,train,12
13,split,cross_subject,train,168
130,split,cross_subject,train,31
131,split,cross_subject,train,27
132,split,cross_subject,train,73
133,split,cross_subject,train,616
134,split,cross_subject,train,42
135,split,cross_subject,train,9
136,split,cross_subject,train,14
137,split,cross_subject,train,247
14,split,cross_subject,train,29
15,split,cross_subject,train,38
16,split,cross_subject,train,87
17,split,cross_subject,train,72
18,split,cross_subject,train,44
19,split,cross_subject,train,311
2,split,cross_subject,train,211
20,split,cross_subject,train,47
21,split,cross_subject,train,29
22,split,cross_subject,train,28
23,split,cross_subject,train,28
24,split,cross_subject,train,53
25,split,cross_subject,train,19
26,split,cross_subject,train,40
27,split,cross_subject,train,2
28,split,cross_subject,train,20
29,split,cross_subject,train,94
3,split,cross_subject,train,129
30,split,cross_subject,train,2
31,split,cross_subject,train,7
32,split,cross_subject,train,7
33,split,cross_subject,train,20
34,split,cross_subject,train,17
35,split,cross_subject,train,174
36,split,cross_subject,train,50
37,split,cross_subject,train,51
38,split,cross_subject,train,259
39,split,cross_subject,train,284
4,split,cross_subject,train,67
40,split,cross_subject,train,61
41,split,cross_subject,train,138
42,split,cross_subject,train,105
43,split,cross_subject,train,33
44,split,cross_subject,train,179
45,split,cross_subject,train,17
46,split,cross_subject,train,190
47,split,cross_subject,train,40
48,split,cross_subject,train,90
49,split,cross_subject,train,40
5,split,cross_subject,train,164
50,split,cross_subject,train,87
51,split,cross_subject,train,17
52,split,cross_subject,train,235
53,split,cross_subject,train,5
54,split,cross_subject,train,233
55,split,cross_subject,train,12
56,split,cross_subject,train,8
57,split,cross_subject,train,3
58,split,cross_subject,train,83
59,split,cross_subject,train,355
6,split,cross_subject,train,121
60,split,cross_subject,train,103
61,split,cross_subject,train,259
62,split,cross_subject,train,12
63,split,cross_subject,train,31
64,split,cross_subject,train,30
65,split,cross_subject,train,237
66,split,cross_subject,train,324
67,split,cross_subject,train,139
68,split,cross_subject,train,224
69,split,cross_subject,train,31
7,split,cross_subject,train,400
70,split,cross_subject,train,110
71,split,cross_subject,train,10
72,split,cross_subject,train,335
73,split,cross_subject,train,132
74,split,cross_subject,train,91
75,split,cross_subject,train,68
76,split,cross_subject,train,9
77,split,cross_subject,train,39
78,split,cross_subject,train,48
8,split,cross_subject,train,16
80,split,cross_subject,train,163
81,split,cross_subject,train,26
82,split,cross_subject,train,213
83,split,cross_subject,train,600
84,split,cross_subject,train,86
85,split,cross_subject,train,44
86,split,cross_subject,train,49
87,split,cross_subject,train,66
88,split,cross_subject,train,195
89,split,cross_subject,train,80
9,split,cross_subject,train,255
90,split,cross_subject,train,23
91,split,cross_subject,train,231
92,split,cross_subject,train,44
93,split,cross_subject,train,34
94,split,cross_subject,train,8
95,split,cross_subject,train,7
96,split,cross_subject,train,14
97,split,cross_subject,train,17
98,split,cross_subject,train,460
99,split,cross_subject,train,4162
0,split,cross_subject,val,572
1,split,cross_subject,val,22
10,split,cross_subject,val,5
100,split,cross_subject,val,41
101,split,cross_subject,val,8
102,split,cross_subject,val,7
103,split,cross_subject,val,14
104,split,cross_subject,val,24
105,split,cross_subject,val,6
106,split,cross_subject,val,36
107,split,cross_subject,val,0
108,split,cross_subject,val,35
109,split,cross_subject,val,0
11,split,cross_subject,val,26
110,split,cross_subject,val,0
112,split,cross_subject,val,6
113,split,cross_subject,val,0
114,split,cross_subject,val,8
115,split,cross_subject,val,3
116,split,cross_subject,val,2
117,split,cross_subject,val,18
118,split,cross_subject,val,8
119,split,cross_subject,val,16
12,split,cross_subject,val,13
120,split,cross_subject,val,9
121,split,cross_subject,val,17
122,split,cross_subject,val,3
123,split,cross_subject,val,19
124,split,cross_subject,val,3
125,split,cross_subject,val,15
126,split,cross_subject,val,6
127,split,cross_subject,val,12
128,split,cross_subject,val,0
129,split,cross_subject,val,1
13,split,cross_subject,val,15
130,split,cross_subject,val,5
131,split,cross_subject,val,4
132,split,cross_subject,val,10
133,split,cross_subject,val,93
134,split,cross_subject,val,9
135,split,cross_subject,val,3
136,split,cross_subject,val,5
137,split,cross_subject,val,46
14,split,cross_subject,val,4
15,split,cross_subject,val,5
16,split,cross_subject,val,9
17,split,cross_subject,val,12
18,split,cross_subject,val,10
19,split,cross_subject,val,43
2,split,cross_subject,val,36
20,split,cross_subject,val,6
21,split,cross_subject,val,11
22,split,cross_subject,val,8
23,split,cross_subject,val,8
24,split,cross_subject,val,12
25,split,cross_subject,val,11
26,split,cross_subject,val,8
27,split,cross_subject,val,1
28,split,cross_subject,val,9
29,split,cross_subject,val,9
3,split,cross_subject,val,16
30,split,cross_subject,val,1
31,split,cross_subject,val,2
32,split,cross_subject,val,3
33,split,cross_subject,val,5
34,split,cross_subject,val,7
35,split,cross_subject,val,39
36,split,cross_subject,val,3
37,split,cross_subject,val,8
38,split,cross_subject,val,36
39,split,cross_subject,val,50
4,split,cross_subject,val,10
40,split,cross_subject,val,5
41,split,cross_subject,val,22
42,split,cross_subject,val,14
43,split,cross_subject,val,10
44,split,cross_subject,val,39
45,split,cross_subject,val,2
46,split,cross_subject,val,33
47,split,cross_subject,val,9
48,split,cross_subject,val,20
49,split,cross_subject,val,3
5,split,cross_subject,val,21
50,split,cross_subject,val,16
51,split,cross_subject,val,10
52,split,cross_subject,val,22
53,split,cross_subject,val,2
54,split,cross_subject,val,18
55,split,cross_subject,val,1
56,split,cross_subject,val,2
57,split,cross_subject,val,2
58,split,cross_subject,val,9
59,split,cross_subject,val,43
6,split,cross_subject,val,16
60,split,cross_subject,val,12
61,split,cross_subject,val,33
62,split,cross_subject,val,12
63,split,cross_subject,val,0
64,split,cross_subject,val,4
65,split,cross_subject,val,31
66,split,cross_subject,val,42
67,split,cross_subject,val,10
68,split,cross_subject,val,32
69,split,cross_subject,val,1
7,split,cross_subject,val,52
70,split,cross_subject,val,15
71,split,cross_subject,val,8
72,split,cross_subject,val,61
73,split,cross_subject,val,25
74,split,cross_subject,val,15
75,split,cross_subject,val,9
76,split,cross_subject,val,6
77,split,cross_subject,val,6
78,split,cross_subject,val,9
8,split,cross_subject,val,7
80,split,cross_subject,val,22
81,split,cross_subject,val,9
82,split,cross_subject,val,21
83,split,cross_subject,val,88
84,split,cross_subject,val,8
85,split,cross_subject,val,5
86,split,cross_subject,val,6
87,split,cross_subject,val,9
88,split,cross_subject,val,19
89,split,cross_subject,val,9
9,split,cross_subject,val,30
90,split,cross_subject,val,2
91,split,cross_subject,val,32
92,split,cross_subject,val,6
93,split,cross_subject,val,6
94,split,cross_subject,val,0
95,split,cross_subject,val,3
96,split,cross_subject,val,5
97,split,cross_subject,val,10
98,split,cross_subject,val,68
99,split,cross_subject,val,604
0,split,cross_subject,test,446
1,split,cross_subject,test,12
10,split,cross_subject,test,5
100,split,cross_subject,test,43
101,split,cross_subject,test,5
102,split,cross_subject,test,8
103,split,cross_subject,test,4
104,split,cross_subject,test,30
105,split,cross_subject,test,6
106,split,cross_subject,test,41
107,split,cross_subject,test,1
108,split,cross_subject,test,29
109,split,cross_subject,test,1
11,split,cross_subject,test,15
110,split,cross_subject,test,0
112,split,cross_subject,test,6
113,split,cross_subject,test,1
114,split,cross_subject,test,13
115,split,cross_subject,test,6
116,split,cross_subject,test,1
117,split,cross_subject,test,24
118,split,cross_subject,test,9
119,split,cross_subject,test,19
12,split,cross_subject,test,16
120,split,cross_subject,test,11
121,split,cross_subject,test,34
122,split,cross_subject,test,1
123,split,cross_subject,test,23
124,split,cross_subject,test,2
125,split,cross_subject,test,15
126,split,cross_subject,test,7
127,split,cross_subject,test,21
128,split,cross_subject,test,0
129,split,cross_subject,test,3
13,split,cross_subject,test,18
130,split,cross_subject,test,4
131,split,cross_subject,test,1
132,split,cross_subject,test,7
133,split,cross_subject,test,112
134,split,cross_subject,test,10
135,split,cross_subject,test,0
136,split,cross_subject,test,2
137,split,cross_subject,test,38
14,split,cross_subject,test,0
15,split,cross_subject,test,10
16,split,cross_subject,test,8
17,split,cross_subject,test,12
18,split,cross_subject,test,8
19,split,cross_subject,test,38
2,split,cross_subject,test,30
20,split,cross_subject,test,11
21,split,cross_subject,test,6
22,split,cross_subject,test,9
23,split,cross_subject,test,5
24,split,cross_subject,test,12
25,split,cross_subject,test,3
26,split,cross_subject,test,11
27,split,cross_subject,test,0
28,split,cross_subject,test,5
29,split,cross_subject,test,11
3,split,cross_subject,test,19
30,split,cross_subject,test,1
31,split,cross_subject,test,0
32,split,cross_subject,test,7
33,split,cross_subject,test,3
34,split,cross_subject,test,9
35,split,cross_subject,test,15
36,split,cross_subject,test,6
37,split,cross_subject,test,5
38,split,cross_subject,test,19
39,split,cross_subject,test,22
4,split,cross_subject,test,9
40,split,cross_subject,test,5
41,split,cross_subject,test,9
42,split,cross_subject,test,7
43,split,cross_subject,test,3
44,split,cross_subject,test,32
45,split,cross_subject,test,5
46,split,cross_subject,test,21
47,split,cross_subject,test,13
48,split,cross_subject,test,18
49,split,cross_subject,test,3
5,split,cross_subject,test,14
50,split,cross_subject,test,13
51,split,cross_subject,test,0
52,split,cross_subject,test,31
53,split,cross_subject,test,0
54,split,cross_subject,test,28
55,split,cross_subject,test,0
56,split,cross_subject,test,1
57,split,cross_subject,test,0
58,split,cross_subject,test,5
59,split,cross_subject,test,28
6,split,cross_subject,test,13
60,split,cross_subject,test,12
61,split,cross_subject,test,39
62,split,cross_subject,test,15
63,split,cross_subject,test,8
64,split,cross_subject,test,4
65,split,cross_subject,test,24
66,split,cross_subject,test,51
67,split,cross_subject,test,20
68,split,cross_subject,test,50
69,split,cross_subject,test,2
7,split,cross_subject,test,54
70,split,cross_subject,test,22
71,split,cross_subject,test,6
72,split,cross_subject,test,28
73,split,cross_subject,test,6
74,split,cross_subject,test,8
75,split,cross_subject,test,6
76,split,cross_subject,test,0
77,split,cross_subject,test,1
78,split,cross_subject,test,1
8,split,cross_subject,test,0
80,split,cross_subject,test,18
81,split,cross_subject,test,11
82,split,cross_subject,test,23
83,split,cross_subject,test,83
84,split,cross_subject,test,13
85,split,cross_subject,test,2
86,split,cross_subject,test,8
87,split,cross_subject,test,9
88,split,cross_subject,test,26
89,split,cross_subject,test,9
9,split,cross_subject,test,33
90,split,cross_subject,test,1
91,split,cross_subject,test,21
92,split,cross_subject,test,2
93,split,cross_subject,test,3
94,split,cross_subject,test,0
95,split,cross_subject,test,3
96,split,cross_subject,test,3
97,split,cross_subject,test,9
98,split,cross_subject,test,45
99,split,cross_subject,test,616
0,split,subject_exclusive,train,3354
1,split,subject_exclusive,train,126
10,split,subject_exclusive,train,56
100,split,subject_exclusive,train,354
101,split,subject_exclusive,train,20
102,split,subject_exclusive,train,39
103,split,subject_exclusive,train,72
104,split,subject_exclusive,train,208
105,split,subject_exclusive,train,15
106,split,subject_exclusive,train,189
107,split,subject_exclusive,train,16
108,split,subject_exclusive,train,290
109,split,subject_exclusive,train,15
11,split,subject_exclusive,train,168
110,split,subject_exclusive,train,7
112,split,subject_exclusive,train,8
113,split,subject_exclusive,train,4
114,split,subject_exclusive,train,24
115,split,subject_exclusive,train,70
116,split,subject_exclusive,train,7
117,split,subject_exclusive,train,111
118,split,subject_exclusive,train,49
119,split,subject_exclusive,train,150
12,split,subject_exclusive,train,139
120,split,subject_exclusive,train,61
121,split,subject_exclusive,train,236
122,split,subject_exclusive,train,12
123,split,subject_exclusive,train,165
124,split,subject_exclusive,train,24
125,split,subject_exclusive,train,102
126,split,subject_exclusive,train,51
127,split,subject_exclusive,train,135
128,split,subject_exclusive,train,0
129,split,subject_exclusive,train,15
13,split,subject_exclusive,train,171
130,split,subject_exclusive,train,11
131,split,subject_exclusive,train,8
132,split,subject_exclusive,train,79
133,split,subject_exclusive,train,699
134,split,subject_exclusive,train,44
135,split,subject_exclusive,train,9
136,split,subject_exclusive,train,18
137,split,subject_exclusive,train,283
14,split,subject_exclusive,train,11
15,split,subject_exclusive,train,47
16,split,subject_exclusive,train,45
17,split,subject_exclusive,train,24
18,split,subject_exclusive,train,46
19,split,subject_exclusive,train,323
2,split,subject_exclusive,train,228
20,split,subject_exclusive,train,56
21,split,subject_exclusive,train,36
22,split,subject_exclusive,train,35
23,split,subject_exclusive,train,30
24,split,subject_exclusive,train,63
25,split,subject_exclusive,train,25
26,split,subject_exclusive,train,47
27,split,subject_exclusive,train,2
28,split,subject_exclusive,train,27
29,split,subject_exclusive,train,96
3,split,subject_exclusive,train,129
30,split,subject_exclusive,train,3
31,split,subject_exclusive,train,2
32,split,subject_exclusive,train,12
33,split,subject_exclusive,train,18
34,split,subject_exclusive,train,26
35,split,subject_exclusive,train,159
36,split,subject_exclusive,train,47
37,split,subject_exclusive,train,57
38,split,subject_exclusive,train,251
39,split,subject_exclusive,train,221
4,split,subject_exclusive,train,72
40,split,subject_exclusive,train,58
41,split,subject_exclusive,train,135
42,split,subject_exclusive,train,86
43,split,subject_exclusive,train,36
44,split,subject_exclusive,train,187
45,split,subject_exclusive,train,21
46,split,subject_exclusive,train,183
47,split,subject_exclusive,train,51
48,split,subject_exclusive,train,84
49,split,subject_exclusive,train,42
5,split,subject_exclusive,train,161
50,split,subject_exclusive,train,89
51,split,subject_exclusive,train,22
52,split,subject_exclusive,train,234
53,split,subject_exclusive,train,6
54,split,subject_exclusive,train,232
55,split,subject_exclusive,train,12
56,split,subject_exclusive,train,10
57,split,subject_exclusive,train,4
58,split,subject_exclusive,train,82
59,split,subject_exclusive,train,303
6,split,subject_exclusive,train,116
60,split,subject_exclusive,train,96
61,split,subject_exclusive,train,291
62,split,subject_exclusive,train,24
63,split,subject_exclusive,train,34
64,split,subject_exclusive,train,35
65,split,subject_exclusive,train,238
66,split,subject_exclusive,train,274
67,split,subject_exclusive,train,145
68,split,subject_exclusive,train,237
69,split,subject_exclusive,train,33
7,split,subject_exclusive,train,374
70,split,subject_exclusive,train,127
71,split,subject_exclusive,train,15
72,split,subject_exclusive,train,349
73,split,subject_exclusive,train,117
74,split,subject_exclusive,train,86
75,split,subject_exclusive,train,69
76,split,subject_exclusive,train,12
77,split,subject_exclusive,train,29
78,split,subject_exclusive,train,34
8,split,subject_exclusive,train,19
80,split,subject_exclusive,train,46
81,split,subject_exclusive,train,34
82,split,subject_exclusive,train,205
83,split,subject_exclusive,train,629
84,split,subject_exclusive,train,98
85,split,subject_exclusive,train,43
86,split,subject_exclusive,train,56
87,split,subject_exclusive,train,76
88,split,subject_exclusive,train,212
89,split,subject_exclusive,train,89
9,split,subject_exclusive,train,260
90,split,subject_exclusive,train,24
91,split,subject_exclusive,train,252
92,split,subject_exclusive,train,45
93,split,subject_exclusive,train,33
94,split,subject_exclusive,train,8
95,split,subject_exclusive,train,10
96,split,subject_exclusive,train,16
97,split,subject_exclusive,train,24
98,split,subject_exclusive,train,489
99,split,subject_exclusive,train,4509
0,split,subject_exclusive,val,612
1,split,subject_exclusive,val,18
10,split,subject_exclusive,val,3
100,split,subject_exclusive,val,50
101,split,subject_exclusive,val,8
102,split,subject_exclusive,val,8
103,split,subject_exclusive,val,10
104,split,subject_exclusive,val,29
105,split,subject_exclusive,val,8
106,split,subject_exclusive,val,46
107,split,subject_exclusive,val,0
108,split,subject_exclusive,val,21
109,split,subject_exclusive,val,2
11,split,subject_exclusive,val,23
110,split,subject_exclusive,val,2
112,split,subject_exclusive,val,7
113,split,subject_exclusive,val,0
114,split,subject_exclusive,val,12
115,split,subject_exclusive,val,7
116,split,subject_exclusive,val,1
117,split,subject_exclusive,val,21
118,split,subject_exclusive,val,8
119,split,subject_exclusive,val,15
12,split,subject_exclusive,val,11
120,split,subject_exclusive,val,6
121,split,subject_exclusive,val,27
122,split,subject_exclusive,val,1
123,split,subject_exclusive,val,16
124,split,subject_exclusive,val,3
125,split,subject_exclusive,val,13
126,split,subject_exclusive,val,6
127,split,subject_exclusive,val,11
128,split,subject_exclusive,val,0
129,split,subject_exclusive,val,1
13,split,subject_exclusive,val,13
130,split,subject_exclusive,val,5
131,split,subject_exclusive,val,1
132,split,subject_exclusive,val,11
133,split,subject_exclusive,val,104
134,split,subject_exclusive,val,17
135,split,subject_exclusive,val,3
136,split,subject_exclusive,val,3
137,split,subject_exclusive,val,38
14,split,subject_exclusive,val,4
15,split,subject_exclusive,val,6
16,split,subject_exclusive,val,6
17,split,subject_exclusive,val,3
18,split,subject_exclusive,val,12
19,split,subject_exclusive,val,51
2,split,subject_exclusive,val,39
20,split,subject_exclusive,val,8
21,split,subject_exclusive,val,10
22,split,subject_exclusive,val,10
23,split,subject_exclusive,val,11
24,split,subject_exclusive,val,14
25,split,subject_exclusive,val,8
26,split,subject_exclusive,val,12
27,split,subject_exclusive,val,1
28,split,subject_exclusive,val,7
29,split,subject_exclusive,val,8
3,split,subject_exclusive,val,18
30,split,subject_exclusive,val,1
31,split,subject_exclusive,val,2
32,split,subject_exclusive,val,5
33,split,subject_exclusive,val,5
34,split,subject_exclusive,val,7
35,split,subject_exclusive,val,49
36,split,subject_exclusive,val,3
37,split,subject_exclusive,val,7
38,split,subject_exclusive,val,39
39,split,subject_exclusive,val,40
4,split,subject_exclusive,val,9
40,split,subject_exclusive,val,3
41,split,subject_exclusive,val,19
42,split,subject_exclusive,val,15
43,split,subject_exclusive,val,10
44,split,subject_exclusive,val,44
45,split,subject_exclusive,val,3
46,split,subject_exclusive,val,36
47,split,subject_exclusive,val,11
48,split,subject_exclusive,val,20
49,split,subject_exclusive,val,4
5,split,subject_exclusive,val,20
50,split,subject_exclusive,val,12
51,split,subject_exclusive,val,5
52,split,subject_exclusive,val,25
53,split,subject_exclusive,val,1
54,split,subject_exclusive,val,22
55,split,subject_exclusive,val,1
56,split,subject_exclusive,val,1
57,split,subject_exclusive,val,1
58,split,subject_exclusive,val,15
59,split,subject_exclusive,val,40
6,split,subject_exclusive,val,15
60,split,subject_exclusive,val,10
61,split,subject_exclusive,val,40
62,split,subject_exclusive,val,15
63,split,subject_exclusive,val,5
64,split,subject_exclusive,val,3
65,split,subject_exclusive,val,29
66,split,subject_exclusive,val,34
67,split,subject_exclusive,val,9
68,split,subject_exclusive,val,39
69,split,subject_exclusive,val,1
7,split,subject_exclusive,val,53
70,split,subject_exclusive,val,20
71,split,subject_exclusive,val,9
72,split,subject_exclusive,val,50
73,split,subject_exclusive,val,22
74,split,subject_exclusive,val,13
75,split,subject_exclusive,val,5
76,split,subject_exclusive,val,3
